trial,feedback,reaction time,difficulty,question,answerlist,participant,name,session,date,expName,psychopyVersion,
1,1,0.4954610999993747,1,宝藏在19号树后面,"28,19,15,18,",11,11,11,2021_Apr_29_2012,number_space,2020.1.3,
2,1,0.47093100000347476,1,宝藏在20号树后面,"12,18,20,23,",11,11,11,2021_Apr_29_2012,number_space,2020.1.3,
