trial,feedback,reaction time,difficulty,question,answerlist,participant,name,session,date,expName,psychopyVersion,
1,0,1.2491145000094548,1,宝藏在19号树后面,"19,18,22,29,",1,1,1,2021_Sep_24_1424,number_space,2020.1.3,
2,1,1.5680898000719026,1,宝藏在19号树后面,"22,15,19,16,",1,1,1,2021_Sep_24_1424,number_space,2020.1.3,
3,1,1.68144429998938,1,宝藏在20号树后面,"16,20,14,26,",1,1,1,2021_Sep_24_1424,number_space,2020.1.3,
4,0,7.538445999962278,1,宝藏在27号树后面,"26,29,15,27,",1,1,1,2021_Sep_24_1424,number_space,2020.1.3,
