trial,feedback,reaction time,difficulty,question,answerlist,participant,name,session,date,expName,psychopyVersion,
1,0,1.293977500172332,1,宝藏在6号树后面,"6,16,13,14,",1111,11,1,2021_Mar_26_1328,number_space,2020.1.3,
2,1,1.3988222999032587,1,宝藏在9号树后面,"7,4,9,14,",1111,11,1,2021_Mar_26_1328,number_space,2020.1.3,
3,1,0.4955863000359386,1,宝藏在2号树后面,"2,10,20,18,",1111,11,1,2021_Mar_26_1328,number_space,2020.1.3,
